game_id,season,prediction_id,model_version,feature_version,blend_version,generated_at,feature_team_weight,feature_market_total,feature_vegas_spread,feature_away_team_elo,feature_home_team_elo,feature_pitcher_weight,feature_away_pitcher_elo,feature_home_pitcher_elo,feature_away_combined_elo,feature_home_combined_elo,feature_away_pitcher_source,feature_home_pitcher_source,feature_injury_model_source,feature_season_sample_games,feature_situational_context,feature_baseline_model_total,feature_context_weight_scale,feature_baseline_model_spread,feature_season_progress_scale,feature_away_pitcher_confidence,feature_historical_context_away,feature_historical_context_home,feature_home_pitcher_confidence,feature_injury_total_adjustment,feature_context_total_adjustment,feature_odds_market_availability,feature_context_spread_adjustment,feature_historical_context_weight,feature_injury_total_model_source,feature_injury_spread_model_source,feature_historical_context_available,feature_away_probable_pitcher_espn_id,feature_home_probable_pitcher_espn_id,feature_probable_pitcher_total_adjustment,feature_probable_pitcher_spread_adjustment,feature_away_probable_pitcher_injury_status,feature_historical_context_total_adjustment,feature_home_probable_pitcher_injury_status,feature_historical_context_spread_adjustment,feature_situational_context_total_adjustment,feature_situational_context_spread_adjustment,output_market_total,output_market_spread,output_predicted_total,output_win_probability,output_confidence_score,output_predicted_spread,output_blended_predicted_total,output_baseline_predicted_total,output_blended_predicted_spread,output_baseline_predicted_spread,actual_away_score,actual_home_score,actual_actual_total,actual_actual_spread,actual_actual_home_win,error_log_loss,error_brier_score,error_total_error,error_spread_error,error_winner_correct,error_baseline_log_loss,error_calibrated_log_loss,error_baseline_brier_score,error_win_probability_error,error_active_win_probability,error_calibrated_brier_score,error_baseline_win_probability,error_calibrated_win_probability,error_active_win_probability_source,error_baseline_win_probability_error,error_calibrated_win_probability_error,error_calibration_beats_baseline_brier,error_calibration_beats_baseline_log_loss,market_market_spread,market_market_spread_error,market_model_beats_market_spread
5638,2022,10048,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,8,-1.5,1587,1455,0.4,1551,1464,1572.6,1458.6,team_recent_average_missing_probable_rating,team_recent_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0.362,""home_fatigue"":0.416,""total_adjustment"":0.17,""spread_adjustment"":-0.02},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.17,""spread_adjustment"":-0.02}",7.6,1,-1.6,1,0.75,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,-0.05,-2.46,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":true,""has_spreads"":true,""available_markets"":[""spreads"",""totals"",""h2h""]}",0.22,0,persisted_team_rating,persisted_team_rating,0,41221,32082,0,0,,0,,0,0.17,-0.02,8,-1.5,7.6,0.443,55.7,-1.6,7.6,7.6,-1.6,-1.6,4,3,7,-1,0,0.57981849525294,0.1936,0.6,0.6,1,0.57981849525294,,0.1936,0.44,0.44,,0.44,,baseline,0.44,,,,-1.5,0.5,0
5645,2022,10055,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,8.5,1.5,1526,1550,0.4,1500,1500,1515.6,1530,league_average_missing_probable_rating,league_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0.132,""total_adjustment"":0.03,""spread_adjustment"":-0.04},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.03,""spread_adjustment"":-0.04}",7.1,1,0.8,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-2.65,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":true,""has_spreads"":true,""available_markets"":[""spreads"",""totals"",""h2h""]}",-0.34,0,persisted_team_rating,persisted_team_rating,0,42169,35292,0,0,,0,,0,0.03,-0.04,8.5,1.5,7.1,0.529,52.9,0.8,7.1,7.1,0.8,0.8,0,1,1,1,1,0.63487827243597,0.2209,6.1,0.2,1,0.63487827243597,,0.2209,0.47,0.53,,0.53,,baseline,0.47,,,,1.5,0.5,1
5644,2022,10054,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,9.5,-1.5,1458,1575,0.4,1500,1500,1474.8,1545,league_average_missing_probable_rating,league_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0.554,""home_fatigue"":0.35,""total_adjustment"":0.2,""spread_adjustment"":0.06},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.2,""spread_adjustment"":0.06}",7.3,1,1.7,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.1,-2.66,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":true,""has_spreads"":true,""available_markets"":[""spreads"",""totals"",""h2h""]}",-0.83,0,persisted_team_rating,persisted_team_rating,0,39869,31053,0,0,,0,,0,0.2,0.06,9.5,-1.5,7.3,0.56,56,1.7,7.3,7.3,1.7,1.7,2,4,6,2,1,0.57981849525294,0.1936,1.3,0.3,1,0.57981849525294,,0.1936,0.44,0.56,,0.56,,baseline,0.44,,,,-1.5,3.5,1
5643,2022,10053,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,7.5,-1.5,1469,1474,0.4,1504,1521,1483,1492.8,team_recent_average_missing_probable_rating,team_recent_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0.476,""home_fatigue"":0.506,""total_adjustment"":0.22,""spread_adjustment"":-0.01},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.22,""spread_adjustment"":-0.01}",7.4,1,0.5,1,0.75,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,0,-2.39,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":true,""has_spreads"":true,""available_markets"":[""spreads"",""totals"",""h2h""]}",-0.49,0,persisted_team_rating,persisted_team_rating,0,39671,33696,0,0,,0,,0,0.22,-0.01,7.5,-1.5,7.4,0.518,51.8,0.5,7.4,7.4,0.5,0.5,2,1,3,-1,0,0.7339691750802,0.2704,4.4,1.5,0,0.7339691750802,,0.2704,0.52,0.52,,0.52,,baseline,0.52,,,,-1.5,0.5,0
5642,2022,10052,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,9.5,-1.5,1501,1607,0.4,1541,1509,1517,1567.8,team_recent_average_missing_probable_rating,team_recent_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0.542,""home_fatigue"":0.512,""total_adjustment"":0.23,""spread_adjustment"":0.01},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.23,""spread_adjustment"":0.01}",7.6,1,1.3,1,0.75,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,-0.15,-2.65,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":true,""has_spreads"":true,""available_markets"":[""spreads"",""totals"",""h2h""]}",-0.69,0,persisted_team_rating,persisted_team_rating,0,36071,33263,0,0,,0,,0,0.23,0.01,9.5,-1.5,7.6,0.546,54.6,1.3,7.6,7.6,1.3,1.3,2,4,6,2,1,0.59783700075562,0.2025,1.6,0.7,1,0.59783700075562,,0.2025,0.45,0.55,,0.55,,baseline,0.45,,,,-1.5,3.5,1
5641,2022,10051,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,9,-1.5,1528,1618,0.4,1507,1509,1519.6,1574.4,team_recent_average_missing_probable_rating,team_recent_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0.44,""home_fatigue"":0.512,""total_adjustment"":0.21,""spread_adjustment"":-0.02},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.21,""spread_adjustment"":-0.02}",7.7,1,1.9,1,0.75,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,-0.25,-2.58,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":true,""has_spreads"":true,""available_markets"":[""spreads"",""totals"",""h2h""]}",-0.11,0,persisted_team_rating,persisted_team_rating,0,36080,32667,0,0,,0,,0,0.21,-0.02,9,-1.5,7.7,0.567,56.7,1.9,7.7,7.7,1.9,1.9,3,4,7,1,1,0.56211891815354,0.1849,0.7,0.9,1,0.56211891815354,,0.1849,0.43,0.57,,0.57,,baseline,0.43,,,,-1.5,2.5,1
5640,2022,10050,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,,,1558,1523,0.4,1502,1517,1535.6,1520.6,team_recent_average_missing_probable_rating,team_recent_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0.126,""home_fatigue"":0.138,""total_adjustment"":0.06,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.06,""spread_adjustment"":0}",7.9,1,0.3,1,0.75,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,0,-2.26,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":false,""has_spreads"":false,""available_markets"":[""h2h""]}",-0.11,0,persisted_team_rating,persisted_team_rating,0,37515,41022,0,0,,0,60-Day-IL,0,0.06,0,,,7.9,0.511,51.1,0.3,7.9,7.9,0.3,0.3,0,9,9,9,1,0.67334455326377,0.2401,1.1,8.7,1,0.67334455326377,,0.2401,0.49,0.51,,0.51,,baseline,0.49,,,,,,
5639,2022,10049,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.6,8.5,-1.5,1438,1473,0.4,1492,1501,1459.6,1484.2,team_recent_average_missing_probable_rating,team_recent_average_missing_probable_rating,persisted_team_rating,162,"{""bullpen"":{""away_fatigue"":0.228,""home_fatigue"":0,""total_adjustment"":0.05,""spread_adjustment"":0.07},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.05,""spread_adjustment"":0.07}",6.1,1,1.1,1,0.75,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,-0.4,-2.9,"{""has_h2h"":true,""bookmaker"":""draftkings"",""has_totals"":true,""has_spreads"":true,""available_markets"":[""spreads"",""totals"",""h2h""]}",-0.31,0,persisted_team_rating,persisted_team_rating,0,33722,32116,0,0,,0,,0,0.05,0.07,8.5,-1.5,6.1,0.539,53.9,1.1,6.1,6.1,1.1,1.1,2,6,8,4,1,0.61618613942382,0.2116,1.9,2.9,1,0.61618613942382,,0.2116,0.46,0.54,,0.54,,baseline,0.46,,,,-1.5,5.5,1
5615,2022,10027,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.45,,,1509,1504,0.55,1500,1500,1504.1,1501.8,league_average_missing_probable_rating,league_average_missing_probable_rating,raw_player_status,0,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",9.7,0.35,0.7,0,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,0,0,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",0,0,raw_player_status,raw_player_status,0,39878,33173,0,0,,0,,0,0,0,,,9.7,0.525,52.5,0.7,9.7,9.7,0.7,0.7,4,5,9,1,1,0.63487827243597,0.2209,0.7,0.3,1,0.63487827243597,,0.2209,0.47,0.53,,0.53,,baseline,0.47,,,,,,
5617,2022,10028,rules-v1,core-v3,baseline-v1,2026-04-01T22:41:04-05:00,0.45,,,1629,1398,0.55,1500,1500,1558.1,1454.1,league_average_missing_probable_rating,league_average_missing_probable_rating,raw_player_status,0,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",9.6,0.35,-1.4,0,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,0,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",0,0,raw_player_status,raw_player_status,0,40912,5883,0,0,,0,,0,0,0,,,9.6,0.45,55,-1.4,9.6,9.6,-1.4,-1.4,1,3,4,2,1,0.79850769621777,0.3025,5.6,3.4,0,0.79850769621777,,0.3025,0.55,0.45,,0.45,,baseline,0.55,,,,,,
