game_id,season,prediction_id,model_version,feature_version,blend_version,generated_at,feature_team_weight,feature_market_total,feature_vegas_spread,feature_away_team_elo,feature_home_team_elo,feature_pitcher_weight,feature_away_pitcher_elo,feature_home_pitcher_elo,feature_away_combined_elo,feature_home_combined_elo,feature_away_pitcher_source,feature_home_pitcher_source,feature_injury_model_source,feature_season_sample_games,feature_situational_context,feature_baseline_model_total,feature_context_weight_scale,feature_baseline_model_spread,feature_season_progress_scale,feature_away_pitcher_confidence,feature_historical_context_away,feature_historical_context_home,feature_home_pitcher_confidence,feature_injury_total_adjustment,feature_context_total_adjustment,feature_odds_market_availability,feature_context_spread_adjustment,feature_historical_context_weight,feature_injury_total_model_source,feature_injury_spread_model_source,feature_historical_context_available,feature_away_probable_pitcher_espn_id,feature_home_probable_pitcher_espn_id,feature_probable_pitcher_total_adjustment,feature_probable_pitcher_spread_adjustment,feature_away_probable_pitcher_injury_status,feature_historical_context_total_adjustment,feature_home_probable_pitcher_injury_status,feature_historical_context_spread_adjustment,feature_situational_context_total_adjustment,feature_situational_context_spread_adjustment,output_market_total,output_market_spread,output_predicted_total,output_win_probability,output_confidence_score,output_predicted_spread,output_blended_predicted_total,output_baseline_predicted_total,output_blended_predicted_spread,output_baseline_predicted_spread,actual_away_score,actual_home_score,actual_actual_total,actual_actual_spread,actual_actual_home_win,error_log_loss,error_brier_score,error_total_error,error_spread_error,error_winner_correct,error_baseline_log_loss,error_calibrated_log_loss,error_baseline_brier_score,error_win_probability_error,error_active_win_probability,error_calibrated_brier_score,error_baseline_win_probability,error_calibrated_win_probability,error_active_win_probability_source,error_baseline_win_probability_error,error_calibrated_win_probability_error,error_calibration_beats_baseline_brier,error_calibration_beats_baseline_log_loss,market_market_spread,market_market_spread_error,market_model_beats_market_spread
3200,2025,7597,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.45,,,1577,1512,0.55,1500,1500,1534.7,1505.4,league_average,league_average,raw_player_status,0,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",10,0.35,0.1,0,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,0,0,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",0,0,raw_player_status,raw_player_status,0,,,0,0,,0,,0,0,0,,,10,0.504,50.4,0.1,10,10,0.1,0.1,4,1,5,-3,0,0.69314718055995,0.25,5,3.1,0,0.69314718055995,,0.25,0.5,0.5,,0.5,,baseline,0.5,,,,,,
3201,2025,7598,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1512,1488,0.4,1508,1492,1510.4,1489.6,team_recent_average,team_recent_average,mixed,162,"{""bullpen"":{""away_fatigue"":0.35,""home_fatigue"":0.68,""total_adjustment"":0.23,""spread_adjustment"":-0.1},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.23,""spread_adjustment"":-0.1}",7.3,1,0.9,1,0.75,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,0,-2.6,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",0.71,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0.23,-0.1,,,7.3,0.532,53.2,0.9,7.3,7.3,0.9,0.9,6,3,9,-3,0,0.75502258427803,0.2809,1.7,3.9,0,0.75502258427803,,0.2809,0.53,0.53,,0.53,,baseline,0.53,,,,,,
4389,2025,7599,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1569,1600,0.4,1500,1500,1541.4,1560,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",6.1,1,1.1,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-3.99,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-0.12,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,6.1,0.539,53.9,1.1,6.1,6.1,1.1,1.1,2,4,6,2,1,0.61618613942382,0.2116,0.1,0.9,1,0.61618613942382,,0.2116,0.46,0.54,,0.54,,baseline,0.46,,,,,,
2908,2025,7600,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1498,1611,0.4,1500,1500,1498.8,1566.6,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",5.9,1,2,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-3.96,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-0.36,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,5.9,0.571,57.1,2,5.9,5.9,2,2,12,2,14,-10,0,0.84397007029453,0.3249,8.1,12,0,0.84397007029453,,0.3249,0.57,0.57,,0.57,,baseline,0.57,,,,,,
3064,2025,7601,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1507,1535,0.4,1500,1500,1504.2,1521,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",6.1,1,-0.3,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.1,-3.63,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-1.47,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,6.1,0.489,51.1,-0.3,6.1,6.1,-0.3,-0.3,5,2,7,-3,0,0.67334455326377,0.2401,0.9,2.7,1,0.67334455326377,,0.2401,0.49,0.49,,0.49,,baseline,0.49,,,,,,
4647,2025,7602,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1568,1419,0.4,1500,1500,1540.8,1451.4,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",6.3,1,-1.5,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.1,-3.29,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-0.27,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,6.3,0.447,55.3,-1.5,6.3,6.3,-1.5,-1.5,7,3,10,-4,0,0.59783700075562,0.2025,3.7,2.5,1,0.59783700075562,,0.2025,0.45,0.45,,0.45,,baseline,0.45,,,,,,
2752,2025,7603,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1442,1519,0.4,1500,1500,1465.2,1511.4,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",5.1,1,3.3,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-4.29,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",1.49,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,5.1,0.616,61.6,3.3,5.1,5.1,3.3,3.3,4,7,11,3,1,0.478035800943,0.1444,5.9,0.3,1,0.478035800943,,0.1444,0.38,0.62,,0.62,,baseline,0.38,,,,,,
3342,2025,7604,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1465,1436,0.4,1500,1500,1479,1461.6,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",4.9,1,-0.2,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-4.2,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-0.62,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,4.9,0.493,50.7,-0.2,4.9,4.9,-0.2,-0.2,1,8,9,7,1,0.71334988787746,0.2601,4.1,7.2,0,0.71334988787746,,0.2601,0.51,0.49,,0.49,,baseline,0.51,,,,,,
3475,2025,7605,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1465,1520,0.4,1500,1500,1479,1512,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",6.5,1,1.7,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,0,-3.1,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",0.15,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,6.5,0.56,56,1.7,6.5,6.5,1.7,1.7,6,4,10,-2,0,0.82098055206983,0.3136,3.5,3.7,0,0.82098055206983,,0.3136,0.56,0.56,,0.56,,baseline,0.56,,,,,,
3600,2025,7606,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1535,1541,0.4,1500,1500,1521,1524.6,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",6.5,1,2.5,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-3.33,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",1.59,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,6.5,0.588,58.8,2.5,6.5,6.5,2.5,2.5,7,4,11,-3,0,0.89159811928378,0.3481,4.5,5.5,0,0.89159811928378,,0.3481,0.59,0.59,,0.59,,baseline,0.59,,,,,,
3942,2025,7607,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1467,1549,0.4,1500,1500,1480.2,1529.4,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",5.6,1,0,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.1,-4.05,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-1.95,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,5.6,0.5,50,0,5.6,5.6,0,0,1,3,4,2,1,0.69314718055995,0.25,1.6,2,0,0.69314718055995,,0.25,0.5,0.5,,0.5,,baseline,0.5,,,,,,
4298,2025,7608,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1448,1478,0.4,1500,1500,1468.8,1486.8,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",5.7,1,0,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-3.52,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-1.21,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,5.7,0.5,50,0,5.7,5.7,0,0,4,5,9,1,1,0.69314718055995,0.25,3.3,1,0,0.69314718055995,,0.25,0.5,0.5,,0.5,,baseline,0.5,,,,,,
4468,2025,7609,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1463,1463,0.4,1500,1500,1477.8,1477.8,league_average,league_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0,""total_adjustment"":0,""spread_adjustment"":0},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0,""spread_adjustment"":0}",5.7,1,-0.3,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.5,-0.2,-3.49,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",-1.12,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0,0,,,5.7,0.489,51.1,-0.3,5.7,5.7,-0.3,-0.3,3,5,8,2,1,0.71334988787746,0.2601,2.3,2.3,0,0.71334988787746,,0.2601,0.51,0.49,,0.49,,baseline,0.51,,,,,,
3837,2025,7610,rules-v1,core-v3,baseline-v1,2026-04-01T20:16:59-05:00,0.6,,,1498,1523,0.4,1500,1508,1498.8,1517,league_average,team_recent_average,mixed,162,"{""bullpen"":{""away_fatigue"":0,""home_fatigue"":0.155,""total_adjustment"":0.03,""spread_adjustment"":-0.05},""handedness"":{""away_edge"":0,""home_edge"":0,""total_adjustment"":0,""spread_adjustment"":0,""away_opponent_pitcher_hand"":null,""home_opponent_pitcher_hand"":null},""total_adjustment"":0.03,""spread_adjustment"":-0.05}",6,1,1.7,1,0.5,"{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}","{""ops"":null,""whip"":null,""available"":false,""runs_per_game"":null,""sample_seasons"":0,""weighted_games"":0,""runs_allowed_per_game"":null,""run_differential_per_game"":null}",0.75,-0.3,-3.53,"{""has_h2h"":false,""bookmaker"":null,""has_totals"":false,""has_spreads"":false,""available_markets"":[]}",0.53,0,raw_player_status,persisted_team_rating,0,,,0,0,,0,,0,0.03,-0.05,,,6,0.56,56,1.7,6,6,1.7,1.7,4,5,9,1,1,0.57981849525294,0.1936,3,0.7,1,0.57981849525294,,0.1936,0.44,0.56,,0.56,,baseline,0.44,,,,,,
