prediction_id,game_id,espn_event_id,home_team_id,away_team_id,season,game_date,home_team,away_team,model_version,feature_version,blend_version,feature_home_elo,feature_away_elo,feature_elo_diff,feature_home_recent_form,feature_away_recent_form,feature_recent_form_diff,feature_rest_days_home,feature_rest_days_away,feature_rest_day_diff,feature_injury_spread_adj,feature_injury_total_adj,feature_market_home_spread,feature_model_predicted_spread,feature_model_predicted_total,feature_model_win_probability,feature_confidence_score,target_home_margin,target_total_points,target_home_win,target_model_spread_error,target_model_total_error,target_market_spread_error,target_model_edge_vs_market
1,1,401810647,4,11,2026,2026-02-19,CHA,HOU,,,,1451,1552,-101,,,,,,,,,,0,239.6,0.5,100,-4,206,0,4,33.6,,
2,2,401810648,6,3,2026,2026-02-19,CLE,BKN,,,,1514,1355,159,,,,,,,,,,9.3,236.9,0.91,100,28,196,1,18.7,40.9,,
3,3,401810649,23,1,2026,2026-02-19,PHI,ATL,,,,1439,1550,-111,,,,,,,,,,-0.4,233.9,0.48,100,-10,224,0,9.6,9.9,,
4,4,401810650,30,12,2026,2026-02-19,WSH,IND,,,,1391,1411,-20,,,,,,,,,,2.9,234.9,0.67,100,7,217,1,4.1,17.9,,
5,5,401810651,20,9,2026,2026-02-19,NY,DET,,,,1591,1639,-48,,,,,,,,,,1.9,226.8,0.62,100,-15,237,0,16.9,10.2,,
6,6,401810652,5,28,2026,2026-02-19,CHI,TOR,,,,1444,1464,-20,,,,,,,,,,2.9,239.8,0.67,100,-9,211,0,11.9,28.8,,
7,7,401810653,27,24,2026,2026-02-19,SA,PHX,,,,1664,1514,150,,,,,,,,,,8.9,230.5,0.9,100,27,215,1,18.1,15.5,,
8,8,401810654,10,2,2026,2026-02-19,GS,BOS,,,,1510,1539,-29,,,,,,,,,,2.5,230.9,0.65,100,-11,231,0,13.5,0.1,,
9,9,401810655,26,22,2026,2026-02-19,SAC,ORL,,,,1337,1500,-163,,,,,,,,,,-2.3,234.7,0.36,85,-37,225,0,34.7,9.7,,
10,10,401810656,13,8,2026,2026-02-19,LAC,DEN,,,,1573,1481,92,,,,,,,,,,6.9,228.5,0.85,100,1,229,1,5.9,0.5,,
11,11,401810657,4,6,2026,2026-02-20,CHA,CLE,,,,1439,1520,-81,,,,,,,,,,0.7,231.3,0.54,54.4,-5,231,0,5.7,0.3,,
12,12,401810658,30,12,2026,2026-02-20,WSH,IND,,,,1400,1402,-2,,,,,,,,,,3.5,232.3,0.71,70.6,13,249,1,9.5,16.7,,
13,13,401810659,15,29,2026,2026-02-20,MEM,UTAH,,,,1456,1362,94,,,,,,,,,,6.9,238.6,0.85,84.9,9,237,1,2.1,1.6,,
14,14,401810660,1,16,2026,2026-02-20,ATL,MIA,,,,1562,1552,10,,,,,,,,,,3.9,234.3,0.73,72.6,-31,225,0,34.9,9.3,,
15,15,401810661,18,7,2026,2026-02-20,MIN,DAL,,,,1533,1432,101,,,,,,,,,,7.2,230.7,0.86,85.8,11,233,1,3.8,2.3,,
16,16,401810662,19,17,2026,2026-02-20,NO,MIL,,,,1370,1499,-129,,,,,,,,,,-1,234.3,0.44,56.2,-21,257,0,20,22.7,,
17,17,401810663,21,3,2026,2026-02-20,OKC,BKN,,,,1569,1349,220,,,,,,,,,,11.4,227.8,0.95,94.5,19,191,1,7.6,36.8,,
18,18,401810664,14,13,2026,2026-02-20,LAL,LAC,,,,1479,1578,-99,,,,,,,,,,0,228.6,0.5,50,3,247,1,3,18.4,,
19,19,401810665,25,8,2026,2026-02-20,POR,DEN,,,,1489,1476,13,,,,,,,,,,4,240.7,0.73,73.1,-54,260,0,58,19.3,,
20,20,401810666,24,22,2026,2026-02-21,PHX,ORL,,,,1507,1514,-7,,,,,,,,,,3.3,225.5,0.7,69.5,3,223,1,0.3,2.5,,
21,21,401810667,19,23,2026,2026-02-21,NO,PHI,,,,1354,1427,-73,,,,,,,,,,1,233.5,0.56,56.2,15,237,1,14,3.5,,
22,22,401810668,16,15,2026,2026-02-21,MIA,MEM,,,,1575,1462,113,,,,,,,,,,7.6,238,0.87,87,16,256,1,8.4,18,,
23,23,401810669,5,9,2026,2026-02-21,CHI,DET,,,,1429,1656,-227,,,,,,,,,,-4.5,233.4,0.25,75.5,-16,236,0,11.5,2.6,,
24,24,401810670,27,26,2026,2026-02-21,SA,SAC,,,,1671,1323,348,,,,,,,,,,16,231,0.98,98.2,17,261,1,1,30,,
25,25,401810671,20,11,2026,2026-02-21,NY,HOU,,,,1574,1564,10,,,,,,,,,,3.9,227.3,0.73,72.6,2,214,1,1.9,13.3,,
26,26,401810672,21,6,2026,2026-02-22,OKC,CLE,,,,1573,1533,40,6.836,15.096,-8.26,2,2,0,,,-0.83,2.7,227.2,0.66,66.3,8,234,1,5.3,6.8,8.83,3.53
27,27,401810673,1,3,2026,2026-02-22,ATL,BKN,,,,1539,1345,194,-6.66,-11.69,5.03,2,2,0,,,4.27,6.9,227,0.85,84.9,11,219,1,4.1,8,6.73,2.63
